Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,0.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
0.000000,9.273823,8.768444,8.455940,7.973754,7.718624,7.185168,6.583352,5.992523
0.010000,9.204242,8.910048,8.338750,8.051881,7.586786,7.341421,6.676127,5.500572
0.020000,8.928359,8.634165,8.437629,7.956664,7.824826,7.208362,6.441749,5.734951
0.030000,9.101701,9.105364,8.488899,7.799191,7.744259,6.916609,6.504005,5.986419
0.040000,8.982071,8.546273,8.425422,7.768673,7.402457,6.827497,6.572366,5.351644
0.050000,9.389792,8.972305,8.581674,8.128786,7.601434,6.949569,5.985199,5.322347
0.060000,9.135882,8.896620,8.165408,7.800412,7.550164,6.735943,6.120699,5.545739
0.070000,9.328756,9.018692,8.608530,8.109255,7.414664,7.058213,6.280613,5.373617
0.080000,9.355612,8.680552,8.587778,7.920043,7.326772,6.550393,6.253758,5.168536
0.090000,8.933242,8.700084,8.123903,7.530632,7.086290,6.729839,5.951019,5.598230
0.100000,9.044327,8.581674,7.960327,7.556268,7.122911,6.691997,5.723964,5.498131
0.110000,8.740368,8.894179,8.410773,7.574578,7.141222,6.587015,6.141451,5.511559
0.120000,9.220111,8.639048,8.282597,7.562371,7.238880,6.660258,6.056001,5.507897
0.130000,8.990616,8.375372,8.071412,7.890745,7.296254,6.673686,6.143893,5.368734
0.140000,8.689097,8.330205,7.844358,7.902953,7.052110,6.306249,5.913176,4.951247
0.150000,8.798962,8.686656,8.184939,7.872435,6.838483,6.518654,5.588464,5.034257
0.160000,8.621958,8.437629,8.216678,7.722286,7.203479,6.507668,5.677577,5.028153
0.170000,8.935683,8.221561,7.899290,7.332876,6.800641,6.419776,5.402914,5.264973
0.180000,8.725719,8.730602,8.010376,7.219348,6.961776,6.248875,5.420005,4.863355
0.190000,8.591440,8.293584,7.790646,7.177844,6.735943,6.312352,5.798428,4.771801
0.200000,8.824598,8.635386,8.066529,7.121691,7.006943,6.289158,5.283284,4.581369
0.210000,8.763561,8.410773,7.850462,7.080186,6.889754,6.447852,5.435874,4.511788
0.220000,8.628061,8.512093,7.618524,7.569696,6.798199,6.239109,5.246662,4.781567
0.230000,8.420539,8.154421,7.854124,7.357290,6.782330,6.268406,5.411460,4.746166
0.240000,8.711070,8.531624,7.677119,6.977646,6.753033,5.841154,5.507897,4.813306
0.250000,8.486458,8.452277,7.738155,7.244984,6.772564,5.683680,5.421225,4.530098
0.260000,8.486458,8.148318,7.797971,6.920272,6.822614,5.637293,5.059892,4.649729
0.270000,8.608530,8.054322,7.373159,7.370718,6.645609,5.736172,5.341878,4.173648
0.280000,8.382696,7.973754,7.662470,6.798199,6.264744,5.847257,5.056229,4.364080
0.290000,8.735485,7.805295,7.541619,6.834821,6.577249,5.693446,5.003738,4.132143
0.300000,8.414435,8.055543,7.446403,6.923934,6.419776,5.846036,4.998856,4.204166
0.310000,8.294804,8.321660,7.312123,6.875105,6.314794,5.504234,5.167315,4.465400
0.320000,8.560922,7.949340,7.603876,6.787213,6.284276,5.434653,4.901198,4.067445
0.330000,8.360723,7.668574,7.412222,6.751812,6.148775,5.290608,4.897536,4.325017
0.340000,8.538949,7.996948,7.431754,6.932479,6.488136,5.515221,5.070878,4.174868
0.350000,8.438849,8.028687,7.606317,6.816510,6.092622,5.407797,4.937819,3.822080
0.360000,8.183719,7.594110,7.254749,6.639506,6.070649,5.169757,4.681468,3.949035
0.370000,8.031128,7.985962,7.067979,6.790875,6.251316,5.330892,4.486152,4.108949
0.380000,8.410773,7.675898,6.989853,6.389258,5.849699,5.334554,4.549630,3.886778
0.390000,8.219120,7.992065,7.158312,6.438087,6.004730,5.522545,4.570382,3.844053
0.400000,8.007935,7.782101,7.132677,6.746929,5.802090,5.269856,4.508125,3.831846
0.410000,8.433967,7.446403,6.994736,6.241550,5.570153,5.112383,4.222477,3.479057
0.420000,8.195926,7.341421,7.323110,6.632181,6.040131,5.040360,4.382391,3.657282
0.430000,8.033570,7.769894,6.837263,6.274510,5.793545,4.969558,4.453193,3.521782
0.440000,8.211795,7.535515,6.727398,6.394141,5.979095,4.990311,4.360418,3.330129
0.450000,7.876097,7.680781,7.249866,6.284276,5.507897,4.780346,4.426337,3.422904
0.460000,8.079957,7.186389,6.806744,6.090181,5.918059,5.212482,4.178531,3.597467
0.470000,7.696651,7.465934,7.087510,6.357519,5.521324,4.917067,4.239567,3.441215
0.480000,7.790646,7.618524,6.897078,6.158541,5.615320,5.031815,4.085756,3.051804
0.490000,7.680781,7.263294,6.858015,6.399023,5.383383,4.720531,4.088197,2.923629
0.500000,7.669795,7.346304,6.981308,6.290379,5.260090,4.871901,4.022278,3.012741
0.510000,7.642939,7.127794,6.713970,6.207370,5.567712,4.371405,4.052796,3.378958
0.520000,7.558709,6.938582,6.866560,6.110933,5.247883,4.539864,3.997864,2.799115
