Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,0.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
0.000000,-9.516747,-9.189593,-8.621958,-8.056764,-7.614862,-7.071641,-6.654154,-6.136568
0.010000,-9.383688,-9.005264,-8.648814,-8.365606,-7.337758,-6.843366,-6.698100,-5.976654
0.020000,-9.403220,-8.628061,-8.361944,-8.305791,-7.821164,-6.803082,-6.495460,-5.821622
0.030000,-9.126116,-8.988174,-8.647593,-7.996948,-7.552605,-7.126574,-6.604105,-5.544518
0.040000,-9.111467,-9.107805,-8.535286,-8.265507,-7.334096,-6.964218,-6.082856,-5.836271
0.050000,-8.873426,-8.672007,-8.291142,-7.938354,-7.595331,-7.121691,-6.453956,-5.323568
0.060000,-8.946670,-9.017472,-8.252079,-7.961547,-7.420768,-6.959335,-5.993744,-5.699550
0.070000,-9.292134,-8.951553,-8.173953,-7.954223,-7.105821,-6.923934,-5.941253,-5.689784
0.080000,-8.802625,-8.588998,-8.303349,-7.779660,-7.042344,-6.507668,-5.841154,-5.433433
0.090000,-8.955215,-8.624399,-8.582895,-7.541619,-7.122911,-6.617533,-6.002289,-5.689784
0.100000,-8.979629,-8.619516,-8.377813,-7.806516,-7.276722,-6.783551,-6.292821,-5.482261
0.110000,-8.753796,-8.519417,-8.520638,-7.653925,-7.320668,-6.790875,-6.047456,-5.352865
0.120000,-9.220111,-8.595102,-8.495003,-7.745480,-7.346304,-6.727398,-5.704433,-5.444419
0.130000,-9.132219,-8.414435,-8.326543,-7.625849,-7.424430,-6.670024,-5.977874,-5.020829
0.140000,-8.922255,-8.422980,-8.021363,-7.443961,-7.238880,-6.580911,-5.736172,-5.191730
0.150000,-9.102922,-8.769665,-8.106813,-7.497673,-6.842145,-6.440528,-5.821622,-5.277180
0.160000,-9.174945,-8.343633,-8.308232,-7.415885,-6.737163,-6.604105,-5.583581,-4.793774
0.170000,-8.883192,-8.245975,-7.954223,-7.345083,-6.684672,-6.573587,-5.948577,-5.064775
0.180000,-8.775769,-8.272831,-8.099489,-7.577020,-6.837263,-6.407568,-5.799649,-5.051347
0.190000,-8.910048,-8.435187,-8.177615,-7.196155,-6.994736,-6.546731,-5.499351,-4.616770
0.200000,-8.661021,-8.307012,-7.973754,-7.153429,-6.984970,-6.071870,-5.520104,-5.011063
0.210000,-8.870985,-8.382696,-7.727169,-7.561151,-6.970321,-5.977874,-5.610437,-4.777905
0.220000,-8.523079,-8.070192,-7.556268,-7.619745,-6.485695,-6.079194,-5.688563,-4.895094
0.230000,-8.527962,-8.109255,-8.014038,-7.559930,-6.988632,-6.339208,-5.443198,-4.531319
0.240000,-8.849012,-8.415656,-7.553826,-7.220569,-6.543069,-6.026703,-5.083085,-4.829175
0.250000,-8.541390,-7.942016,-7.740597,-7.242542,-6.429541,-6.091402,-5.395590,-4.521553
0.260000,-8.729381,-8.372930,-7.569696,-6.892195,-6.275731,-5.766690,-5.339437,-4.762036
0.270000,-8.293584,-8.436408,-7.923705,-6.912947,-6.308690,-6.002289,-4.947585,-4.585031
0.280000,-8.495003,-8.054322,-7.540398,-7.192493,-6.545510,-5.916838,-5.175860,-4.392157
0.290000,-8.518196,-7.900511,-7.319448,-7.061875,-6.491798,-6.076753,-5.263752,-4.265202
0.300000,-8.737926,-7.995727,-7.347524,-7.019150,-6.580911,-5.997406,-4.820630,-4.295720
0.310000,-8.520638,-8.321660,-7.448844,-7.080186,-6.527199,-5.476158,-5.239338,-3.949035
0.320000,-8.736706,-7.866331,-7.657588,-7.144884,-6.005951,-5.546960,-5.034257,-4.047913
0.330000,-8.206912,-8.088502,-7.420768,-6.998398,-6.466163,-5.452964,-4.707103,-4.183413
0.340000,-8.477913,-8.208133,-7.130236,-6.533303,-6.258640,-5.253986,-4.934157,-3.949035
0.350000,-8.307012,-7.922484,-7.161975,-6.795758,-5.893645,-5.660487,-4.676585,-3.802548
0.360000,-8.288701,-7.949340,-7.459831,-6.464942,-6.021820,-5.678798,-4.622873,-3.750057
0.370000,-8.197147,-7.794308,-7.033799,-6.939803,-5.946136,-5.295491,-4.548409,-4.055238
0.380000,-8.454719,-7.937133,-6.987411,-6.869001,-6.245212,-5.378500,-4.809644,-3.778134
0.390000,-7.929808,-7.454948,-7.467155,-6.499123,-5.941253,-5.409018,-4.748608,-3.728084
0.400000,-8.252079,-7.857786,-6.934920,-6.842145,-6.170748,-5.031815,-4.637522,-3.659724
0.410000,-8.455940,-7.559930,-7.376822,-6.678569,-6.002289,-5.238117,-4.543526,-3.869688
0.420000,-7.960327,-7.365835,-6.822614,-6.374609,-5.959564,-4.964675,-4.309148,-3.446098
0.430000,-8.249638,-7.790646,-6.798199,-6.535744,-5.483482,-5.129473,-4.073548,-3.516899
0.440000,-7.904173,-7.802853,-7.099718,-6.274510,-5.711757,-5.078202,-4.107729,-3.542535
0.450000,-7.734493,-7.386587,-7.099718,-6.512551,-5.589685,-4.666819,-3.975891,-3.220264
0.460000,-8.062867,-7.331655,-6.967880,-6.297704,-5.699550,-4.766918,-4.025940,-3.424125
0.470000,-7.707637,-7.458610,-7.021592,-5.957122,-5.413901,-4.991531,-4.404364,-3.165332
0.480000,-7.707637,-7.452506,-7.003281,-6.265965,-5.383383,-4.649729,-3.990539,-3.372854
0.490000,-7.765011,-7.329213,-6.485695,-6.047456,-5.744717,-4.528878,-4.063783,-3.104295
0.500000,-8.015259,-7.531853,-6.987411,-5.996185,-5.445640,-4.692454,-4.085756,-3.188525
0.510000,-7.724727,-7.442741,-6.834821,-6.120699,-5.108721,-4.914626,-4.023499,-2.876020
